Assembled 3919 bytes
Running (speed: max IPS, time limit: 10s)...

[UART RX] ':'  (0x3A)
[UART RX] 'N'  (0x4E)
[UART RX] 'O'  (0x4F)
[UART RX] 'N'  (0x4E)
[UART RX] 'A'  (0x41)
[UART RX] 'M'  (0x4D)
[UART RX] 'E'  (0x45)
[UART RX] ' '  (0x20)
[UART RX] '6'  (0x36)
[UART RX] '5'  (0x35)
[UART RX] ' '  (0x20)
[UART RX] 'E'  (0x45)
[UART RX] 'M'  (0x4D)
[UART RX] 'I'  (0x49)
[UART RX] 'T'  (0x54)
[UART RX] ' '  (0x20)
[UART RX] '1'  (0x31)
[UART RX] '0'  (0x30)
[UART RX] ' '  (0x20)
[UART RX] 'E'  (0x45)
[UART RX] 'M'  (0x4D)
[UART RX] 'I'  (0x49)
[UART RX] 'T'  (0x54)
[UART RX] ' '  (0x20)
[UART RX] ';'  (0x3B)
[UART RX] ' '  (0x20)
[UART RX] 'E'  (0x45)
[UART RX] 'X'  (0x58)
[UART RX] 'E'  (0x45)
[UART RX] 'C'  (0x43)
[UART RX] 'U'  (0x55)
[UART RX] 'T'  (0x54)
[UART RX] 'E'  (0x45)

Executed 5000000 instructions
